symbol,horizon,weighted_score,technical_score,fundamental_score,news_sentiment,data_quality,price_source,recommendation,reasons,news_headlines,trend,current_price,entry_zone,stop_loss,take_profit_1,take_profit_2,tp1_pct,tp2_pct,risk_reward,position_size,rebalance,rsi
GHNI,swing,92.2,100,74,0,LIVE,yfinance(GHNI.KA),STRONG BUY,ROE 45.6% (excellent) | D/E 0 (low leverage) | P/E 5.4 (deep value),,Bullish,PKR 880.74,PKR 871.93 - 889.55,PKR 834.55 (-5.2%),PKR 919.23 (+4.4%),PKR 944.89 (+7.3%),+4.4%,+7.3%,1 : 1.39,Allocate 2.0% of portfolio to this trade (risk 1% max = Entry-Stop x Shares),Weekly,63.9
POL,very_long_term,89.0,85,90,0,LIVE,yfinance(POL.KA),CORE HOLDING,ROE 34.2% (excellent) | D/E 49 (low leverage) | P/E 7.0 (deep value),"Geopolitical shock wipes over 19,000 points off KSE-100 in March The Pakistan Stock Exchange’s benchmark KSE-100 Index recorded its worst monthly perf",Bullish,PKR 667.52,PKR 614.12 - 640.82,PKR 534.02 (-20.0%),PKR 867.78 (+30.0%),"PKR 1,201.54 (+80.0%)",+30.0%,+80.0%,1 : 4.0,Allocate 8.0% of portfolio to this trade (risk 1% max = Entry-Stop x Shares),Annually,62.7
INDU,swing,88.2,90,84,0,LIVE,yfinance(INDU.KA),STRONG BUY,ROE 32.5% (excellent) | D/E 0 (low leverage) | P/E 6.2 (deep value),"Oil industry opposes windfall tax in upcoming budget | Rs200 billion import relief for industry | High interest rates stifling growth, warn industry leaders",Bullish,"PKR 2,041.99","PKR 2,021.57 - 2,062.41","PKR 1,948.71 (-4.6%)","PKR 2,119.72 (+3.8%)","PKR 2,171.54 (+6.3%)",+3.8%,+6.3%,1 : 1.39,Allocate 2.0% of portfolio to this trade (risk 1% max = Entry-Stop x Shares),Weekly,61.2
POL,long_term,88.0,85,90,0,LIVE,yfinance(POL.KA),CORE HOLDING,ROE 34.2% (excellent) | D/E 49 (low leverage) | P/E 7.0 (deep value),"Geopolitical shock wipes over 19,000 points off KSE-100 in March The Pakistan Stock Exchange’s benchmark KSE-100 Index recorded its worst monthly perf",Bullish,PKR 667.52,PKR 647.49 - 660.84,PKR 587.42 (-12.0%),PKR 801.02 (+20.0%),PKR 934.53 (+40.0%),+20.0%,+40.0%,1 : 3.33,Allocate 5.0% of portfolio to this trade (risk 1% max = Entry-Stop x Shares),Quarterly,62.7
HUBC,swing,87.6,90,82,0,LIVE,yfinance(HUBC.KA),STRONG BUY,ROE 20.3% (excellent) | D/E 40 (low leverage) | P/E 11.4 (value),"Top EU diplomat says Pakistan a major regional power, ‘important partner’ | Seven years on, Bajaur solar power  project still incomplete | 'No sufficient outcome' yet of talks to secure discounts from Chinese power producers: Leghari",Bullish,PKR 214.95,PKR 212.80 - 217.10,PKR 207.16 (-3.6%),PKR 221.44 (+3.0%),PKR 225.77 (+5.0%),+3.0%,+5.0%,1 : 1.39,Allocate 2.0% of portfolio to this trade (risk 1% max = Entry-Stop x Shares),Weekly,50.3
POL,swing,86.5,85,90,0,LIVE,yfinance(POL.KA),STRONG BUY,ROE 34.2% (excellent) | D/E 49 (low leverage) | P/E 7.0 (deep value),"Geopolitical shock wipes over 19,000 points off KSE-100 in March The Pakistan Stock Exchange’s benchmark KSE-100 Index recorded its worst monthly perf",Bullish,PKR 667.52,PKR 660.84 - 674.20,PKR 654.90 (-1.9%),PKR 678.03 (+1.6%),PKR 685.04 (+2.6%),+1.6%,+2.6%,1 : 1.39,Allocate 2.0% of portfolio to this trade (risk 1% max = Entry-Stop x Shares),Weekly,62.7
INDU,long_term,86.4,90,84,0,LIVE,yfinance(INDU.KA),CORE HOLDING,ROE 32.5% (excellent) | D/E 0 (low leverage) | P/E 6.2 (deep value),"Oil industry opposes windfall tax in upcoming budget | Rs200 billion import relief for industry | High interest rates stifling growth, warn industry leaders",Bullish,"PKR 2,041.99","PKR 1,980.73 - 2,021.57","PKR 1,796.95 (-12.0%)","PKR 2,450.39 (+20.0%)","PKR 2,858.79 (+40.0%)",+20.0%,+40.0%,1 : 3.33,Allocate 5.0% of portfolio to this trade (risk 1% max = Entry-Stop x Shares),Quarterly,61.2
HUBC,long_term,85.2,90,82,0,LIVE,yfinance(HUBC.KA),CORE HOLDING,ROE 20.3% (excellent) | D/E 40 (low leverage) | P/E 11.4 (value),"Top EU diplomat says Pakistan a major regional power, ‘important partner’ | Seven years on, Bajaur solar power  project still incomplete | 'No sufficient outcome' yet of talks to secure discounts from Chinese power producers: Leghari",Bullish,PKR 214.95,PKR 208.50 - 212.80,PKR 189.16 (-12.0%),PKR 257.94 (+20.0%),PKR 300.93 (+40.0%),+20.0%,+40.0%,1 : 3.33,Allocate 5.0% of portfolio to this trade (risk 1% max = Entry-Stop x Shares),Quarterly,50.3
INDU,very_long_term,85.2,90,84,0,LIVE,yfinance(INDU.KA),CORE HOLDING,ROE 32.5% (excellent) | D/E 0 (low leverage) | P/E 6.2 (deep value),"Oil industry opposes windfall tax in upcoming budget | Rs200 billion import relief for industry | High interest rates stifling growth, warn industry leaders",Bullish,"PKR 2,041.99","PKR 1,878.63 - 1,960.31","PKR 1,633.59 (-20.0%)","PKR 2,654.59 (+30.0%)","PKR 3,675.58 (+80.0%)",+30.0%,+80.0%,1 : 4.0,Allocate 8.0% of portfolio to this trade (risk 1% max = Entry-Stop x Shares),Annually,61.2
GHNI,long_term,84.4,100,74,0,LIVE,yfinance(GHNI.KA),CORE HOLDING,ROE 45.6% (excellent) | D/E 0 (low leverage) | P/E 5.4 (deep value),,Bullish,PKR 880.74,PKR 840.54 - 871.93,PKR 775.05 (-12.0%),"PKR 1,056.89 (+20.0%)","PKR 1,233.04 (+40.0%)",+20.0%,+40.0%,1 : 3.33,Allocate 5.0% of portfolio to this trade (risk 1% max = Entry-Stop x Shares),Quarterly,63.9
HUBC,very_long_term,83.6,90,82,0,LIVE,yfinance(HUBC.KA),CORE HOLDING,ROE 20.3% (excellent) | D/E 40 (low leverage) | P/E 11.4 (value),"Top EU diplomat says Pakistan a major regional power, ‘important partner’ | Seven years on, Bajaur solar power  project still incomplete | 'No sufficient outcome' yet of talks to secure discounts from Chinese power producers: Leghari",Bullish,PKR 214.95,PKR 197.75 - 206.35,PKR 171.96 (-20.0%),PKR 279.44 (+30.0%),PKR 386.91 (+80.0%),+30.0%,+80.0%,1 : 4.0,Allocate 8.0% of portfolio to this trade (risk 1% max = Entry-Stop x Shares),Annually,50.3
FFC,swing,83.5,90,75,-3,LIVE,yfinance(FFC.KA),STRONG BUY,ROE 34.1% (excellent) | D/E 32 (low leverage) | P/E 10.1 (value),"Oil industry opposes windfall tax in upcoming budget | Govt mulls scrapping export tax in budget | Solar panels, fertilizers may escape tax hike in upcoming budget The federal government is reportedly planning a series of tax relief measures in the ",Bullish,PKR 552.30,PKR 546.78 - 557.82,PKR 532.34 (-3.6%),PKR 568.93 (+3.0%),PKR 580.02 (+5.0%),+3.0%,+5.0%,1 : 1.39,Allocate 2.0% of portfolio to this trade (risk 1% max = Entry-Stop x Shares),Weekly,64.3
FCCL,swing,82.8,90,66,0,LIVE,yfinance(FCCL.KA),STRONG BUY,ROE 17.1% (good) | D/E 41 (low leverage) | P/E 9.8 (value),,Bullish,PKR 52.90,PKR 52.37 - 53.43,PKR 49.66 (-6.1%),PKR 55.60 (+5.1%),PKR 57.40 (+8.5%),+5.1%,+8.5%,1 : 1.39,Allocate 2.0% of portfolio to this trade (risk 1% max = Entry-Stop x Shares),Weekly,57.6
SAZEW,swing,81.7,85,74,0,LIVE,yfinance(SAZEW.KA),BUY,ROE 64.9% (excellent) | D/E 4 (low leverage) | P/E 7.2 (deep value),,Bullish,"PKR 2,177.47","PKR 2,155.70 - 2,199.24","PKR 2,066.97 (-5.1%)","PKR 2,269.55 (+4.2%)","PKR 2,330.94 (+7.0%)",+4.2%,+7.0%,1 : 1.39,Allocate 2.0% of portfolio to this trade (risk 1% max = Entry-Stop x Shares),Weekly,55.2
NBP,swing,81.7,90,59,1,LIVE,yfinance(NBP.KA),BUY,ROE 17.9% (good) | P/E 5.0 (deep value) | Div yield 18.5% (high income),"SBP adds SAR, AED to Naya Pakistan Certificates The State Bank of Pakistan has issued updated rates of return for Conventional Naya Pakistan Certifica | Pakistan targets 4% GDP growth in FY27 Pakistan has set a GDP growth target of 4% for fiscal year 2026-27, banking on a recovery across agriculture, i",Bullish,PKR 189.09,PKR 187.20 - 190.98,PKR 176.04 (-6.9%),PKR 199.97 (+5.8%),PKR 207.22 (+9.6%),+5.8%,+9.6%,1 : 1.39,Allocate 2.0% of portfolio to this trade (risk 1% max = Entry-Stop x Shares),Weekly,49.5
MEBL,swing,81.4,90,58,1,LIVE,yfinance(MEBL.KA),BUY,ROE 33.9% (excellent) | P/E 9.7 (value) | Div yield 5.8% (solid),"SBP adds SAR, AED to Naya Pakistan Certificates The State Bank of Pakistan has issued updated rates of return for Conventional Naya Pakistan Certifica | Pakistan targets 4% GDP growth in FY27 Pakistan has set a GDP growth target of 4% for fiscal year 2026-27, banking on a recovery across agriculture, i",Bullish,PKR 485.77,PKR 480.91 - 490.63,PKR 467.61 (-3.7%),PKR 500.90 (+3.1%),PKR 511.00 (+5.2%),+3.1%,+5.2%,1 : 1.39,Allocate 2.0% of portfolio to this trade (risk 1% max = Entry-Stop x Shares),Weekly,52.6
JDWS,swing,80.8,85,71,0,LIVE,yfinance(JDWS.KA),BUY,ROE 28.3% (excellent) | D/E 46 (low leverage) | P/E 6.7 (deep value),,Bullish,PKR 921.08,PKR 911.87 - 930.29,PKR 856.26 (-7.0%),PKR 975.10 (+5.9%),"PKR 1,011.11 (+9.8%)",+5.9%,+9.8%,1 : 1.39,Allocate 2.0% of portfolio to this trade (risk 1% max = Entry-Stop x Shares),Weekly,66.4
UBL,swing,80.7,90,59,0,LIVE,yfinance(UBL.KA),BUY,ROE 36.8% (excellent) | P/E 7.2 (deep value) | Div yield 7.3% (solid),"PSX rebounds in April after brutal slide After enduring back-to-back double-digit monthly losses, the sharpest in years, Pakistan's equity market stag | SBP adds SAR, AED to Naya Pakistan Certificates The State Bank of Pakistan has issued updated rates of return for Conventional Naya Pakistan Certifica | Pakistan targets 4% GDP growth in FY27 Pakistan has set a GDP growth target of 4% for fiscal year 2026-27, banking on a recovery across agriculture, i",Bullish,PKR 404.77,PKR 400.72 - 408.82,PKR 383.13 (-5.3%),PKR 422.80 (+4.5%),PKR 434.82 (+7.4%),+4.5%,+7.4%,1 : 1.39,Allocate 2.0% of portfolio to this trade (risk 1% max = Entry-Stop x Shares),Weekly,54.0
PKGS,swing,80.5,100,35,0,LIVE,yfinance(PKGS.KA),BUY,ROE -1.2% (weak) | D/E 92 (moderate) | P/E 26.2 (expensive),,Bullish,PKR 754.73,PKR 747.18 - 762.28,PKR 712.12 (-5.6%),PKR 790.24 (+4.7%),PKR 813.90 (+7.8%),+4.7%,+7.8%,1 : 1.39,Allocate 2.0% of portfolio to this trade (risk 1% max = Entry-Stop x Shares),Weekly,57.6
FABL,swing,79.5,90,55,0,LIVE,yfinance(FABL.KA),BUY,ROE 20.6% (excellent) | P/E 6.3 (deep value) | Div yield 7.2% (solid),,Bullish,PKR 89.79,PKR 88.89 - 90.69,PKR 86.42 (-3.8%),PKR 92.60 (+3.1%),PKR 94.47 (+5.2%),+3.1%,+5.2%,1 : 1.39,Allocate 2.0% of portfolio to this trade (risk 1% max = Entry-Stop x Shares),Weekly,56.0
